update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,1498.1930140768427,1,0.0,0.0,0,0,0.0,0.0,0,0,1.9324036091566086,-0.10325423441827297,-0.024419254390522838,0.001251512803719379,0.035013069080013184,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,1455.6588519729412,2,0.0,0.0,0,0,0.0,0.0,0,0,1.9351266771554947,-0.07304921466857195,-0.012415797682479024,0.00012832419724873034,0.007667130283907384,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,1527.3332668342657,4,0.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0,1.9402301162481308,-0.055121255572885275,-0.019688002532348037,0.00027141417922393885,0.008904934046334545,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,1526.2152278351084,5,0.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0,1.9425806254148483,-0.04749264754354954,-0.008406927925534546,3.8926545585127315e-05,0.0037868110853045635,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,1432.1644223973549,6,0.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0,1.9434230625629425,-0.04213939467445016,-0.007568139233626425,3.092986094088701e-05,0.003919408543944134,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,1524.1503536978405,8,0.015468750149011612,0.05991021171376547,0.0,0.2475000023841858,356.3125,14.28162608913985,301.0,360.0,1.9429380744695663,-0.030512354336678982,-0.01231852057389915,0.0003280570308561437,0.0080958159305203,0.015468750149011612,0.05991021171376547,0.0,0.2475000023841858
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,1556.1227632602959,9,0.015468750149011612,0.05991021171376547,0.0,0.2475000023841858,356.3125,14.28162608913985,301.0,360.0,1.9427013844251633,-0.023338491329923272,-0.004030571144539863,2.4418149905613973e-05,0.002946215401627863,0.015468750149011612,0.05991021171376547,0.0,0.2475000023841858
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,16384,1538.8326373302143,10,0.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0,1.9441903233528137,-0.017979509197175503,-0.003117047483101487,1.485930306444061e-05,0.0017227164402393884,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,18432,1425.955981615486,12,0.0,0.0,0.0,0.0,360.0,0.0,360.0,360.0,1.944311946630478,-0.013902212958782911,-0.004616770893335342,3.0163084829837317e-05,0.002935404274968692,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
