update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,2048,797.1416447041181,2,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9407261461019516,0.06032928416971117,0.023237947025336325,0.0005144056344761339,0.014802611647383685,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,4096,813.0204842023428,5,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.94434355199337,0.05079104390460998,0.01852621341822669,0.0002227227269031573,0.006831870365808434,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,6144,735.2510714932258,7,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9419978857040405,0.04306024557445198,0.014247785293264315,0.00014055442102289817,0.0037081731657101213,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,8192,854.0055543592096,10,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9434965886175632,0.030523815483320504,0.014143820706522092,0.0001061243090134667,0.0037367987713540704,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,10240,765.8584131881288,13,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9451276026666164,0.019764754048082978,0.0075484300759853795,3.4889979303898144e-05,0.0030071017967002846,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,12288,758.2617922744099,15,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9455665461719036,0.013082372461212799,0.004766849750012625,1.7002158827494895e-05,0.0012660947154516195,0.0,0.0,0.0,0.0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,14336,821.8743270912507,18,0.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,1.9455907978117466,0.009670517174527049,0.003360898481332697,1.1243166568419838e-05,0.0014826890830729618,0.0,0.0,0.0,0.0
