U 18 | F 036864 | FPS 0566 | D 85 | rR: 0.20 0.35 0.00 0.90 | F: 162.1 232.6 4.0 1000.0 | H 1.894 | V 0.050 | pL -0.016 | vL 0.010 | dL 0.030
U 19 | F 038912 | FPS 0571 | D 88 | rR: 0.28 0.42 0.00 0.99 | F: 130.9 117.0 12.0 469.0 | H 1.910 | V 0.096 | pL -0.002 | vL 0.010 | dL 0.045
U 20 | F 040960 | FPS 0568 | D 92 | rR: 0.17 0.35 0.00 0.99 | F: 181.4 270.1 7.0 1000.0 | H 1.921 | V 0.078 | pL -0.002 | vL 0.008 | dL 0.031
Status saved
U 21 | F 043008 | FPS 0586 | D 95 | rR: 0.06 0.23 0.00 0.97 | F: 163.1 307.3 1.0 1000.0 | H 1.914 | V 0.074 | pL 0.023 | vL 0.001 | dL 0.010
U 22 | F 045056 | FPS 0567 | D 99 | rR: 0.18 0.37 0.00 0.98 | F: 147.6 162.9 1.0 618.0 | H 1.934 | V 0.083 | pL 0.005 | vL 0.005 | dL 0.022
U 23 | F 047104 | FPS 0572 | D 103 | rR: 0.15 0.32 0.00 0.98 | F: 155.1 139.7 13.0 490.0 | H 1.935 | V 0.065 | pL 0.002 | vL 0.003 | dL 0.022
U 24 | F 049152 | FPS 0589 | D 106 | rR: 0.14 0.30 0.00 0.87 | F: 221.6 246.4 5.0 1000.0 | H 1.933 | V 0.078 | pL 0.003 | vL 0.002 | dL 0.011
U 25 | F 051200 | FPS 0560 | D 110 | rR: 0.14 0.30 0.00 0.87 | F: 220.8 247.6 5.0 1000.0 | H 1.934 | V 0.064 | pL 0.014 | vL 0.000 | dL 0.006
U 26 | F 053248 | FPS 0575 | D 113 | rR: 0.11 0.28 0.00 0.87 | F: 302.5 303.0 5.0 1000.0 | H 1.932 | V 0.058 | pL 0.012 | vL 0.000 | dL 0.006
U 27 | F 055296 | FPS 0571 | D 117 | rR: 0.00 0.00 0.00 0.00 | F: 334.6 330.8 1.0 1000.0 | H 1.941 | V 0.046 | pL 0.011 | vL 0.000 | dL 0.004
U 28 | F 057344 | FPS 0585 | D 120 | rR: 0.23 0.39 0.00 0.94 | F: 240.1 272.0 1.0 1000.0 | H 1.935 | V 0.054 | pL -0.018 | vL 0.011 | dL 0.026
