U 18 | F 036864 | FPS 0523 | D 72 | rR:0.00 0.00 0.00 0.00 | F:619.7 362.4 20.0 1000.0 | H 1.946 | V 0.005 | pL 0.001 | vL 0.000 |dL 0.000
U 19 | F 038912 | FPS 0509 | D 76 | rR:0.00 0.00 0.00 0.00 | F:622.4 343.1 20.0 1000.0 | H 1.946 | V 0.004 | pL 0.001 | vL 0.000 |dL 0.000
U 20 | F 040960 | FPS 0514 | D 80 | rR:0.00 0.00 0.00 0.00 | F:615.7 352.5 20.0 1000.0 | H 1.946 | V 0.003 | pL 0.001 | vL 0.000 |dL 0.000
Status saved
U 21 | F 043008 | FPS 0501 | D 84 | rR:0.00 0.00 0.00 0.00 | F:589.8 339.8 20.0 1000.0 | H 1.946 | V 0.002 | pL 0.000 | vL 0.000 |dL 0.000
U 22 | F 045056 | FPS 0520 | D 88 | rR:0.00 0.00 0.00 0.00 | F:586.3 302.4 20.0 1000.0 | H 1.946 | V 0.002 | pL 0.000 | vL 0.000 |dL 0.000
U 23 | F 047104 | FPS 0521 | D 92 | rR:0.00 0.00 0.00 0.00 | F:573.2 315.8 75.0 1000.0 | H 1.946 | V 0.002 | pL 0.000 | vL 0.000 |dL 0.000
U 24 | F 049152 | FPS 0513 | D 96 | rR:0.00 0.00 0.00 0.00 | F:589.2 330.2 75.0 1000.0 | H 1.946 | V 0.001 | pL 0.000 | vL 0.000 |dL 0.000
U 25 | F 051200 | FPS 0512 | D 100 | rR:0.00 0.00 0.00 0.00 | F:629.6 390.0 45.0 1000.0 | H 1.946 | V 0.001 | pL 0.000 | vL 0.000 |dL 0.000
U 26 | F 053248 | FPS 0507 | D 104 | rR:0.03 0.12 0.00 0.49 | F:553.5 380.1 45.0 1000.0 | H 1.939 | V 0.007 | pL -0.004 | vL 0.001 |dL 0.011
U 27 | F 055296 | FPS 0478 | D 109 | rR:0.03 0.12 0.00 0.49 | F:564.9 337.2 45.0 1000.0 | H 1.944 | V -0.008 | pL -0.001 | vL 0.000 |dL 0.001
U 28 | F 057344 | FPS 0533 | D 113 | rR:0.03 0.12 0.00 0.49 | F:602.1 350.5 45.0 1000.0 | H 1.946 | V -0.007 | pL -0.002 | vL 0.000 |dL 0.001
U 29 | F 059392 | FPS 0513 | D 117 | rR:0.03 0.12 0.00 0.49 | F:581.7 322.2 45.0 1000.0 | H 1.946 | V -0.005 | pL -0.001 | vL 0.000 |dL 0.001
U 30 | F 061440 | FPS 0508 | D 121 | rR:0.03 0.12 0.00 0.49 | F:573.1 313.6 45.0 1000.0 | H 1.946 | V -0.004 | pL -0.001 | vL 0.000 |dL 0.000
Status saved
U 31 | F 063488 | FPS 0492 | D 125 | rR:0.03 0.12 0.00 0.49 | F:573.1 313.6 45.0 1000.0 | H 1.946 | V -0.003 | pL -0.000 | vL 0.000 |dL 0.000
